event_name,location,city,date,time,event_link
Informacinis renginys: II pensijų pakopa: likti ar išlipti | Mažoji salė,Šiaulių Arena,Šiauliai,2026-03-30,17:30,https://siauliuarena.lt/event/informacinis-renginys-ii-pensiju-pakopa-likti-ar-islipti-mazoji-sale/
Spektaklis „Spetras” | Mažoji salė,Šiaulių Arena,Šiauliai,2026-04-02,18:00,https://siauliuarena.lt/event/spektaklis-spetras-mazoji-sale/
LKL: „Šiauliai“ – „Jonava“,Šiaulių Arena,Šiauliai,2026-04-03,18:00,https://siauliuarena.lt/event/lkl-siauliai-jonava-2/
Smart Way Karalienės Taurė: Šiauliai-Vilmers – ALYTUS-GUT.LT,Šiaulių Arena,Šiauliai,2026-04-04,14:00,https://siauliuarena.lt/event/smart-way-karalienes-taure-siauliai-vilmers-alytus-gut-lt/
A|CH premjera „KARALIŲ PASAKA”,Šiaulių Arena,Šiauliai,2026-04-11,19:00,https://siauliuarena.lt/event/ach-premjera-karaliu-pasaka-2/
LKL: „Šiauliai“ – „Rytas“,Šiaulių Arena,Šiauliai,2026-04-12,19:10,https://siauliuarena.lt/event/lkl-siauliai-rytas-3/
1 DIENA | Tarptautinės sportinių šokių reitingo varžybos (WDSF ir LSŠF) „Sun City Cup-2026“,Šiaulių Arena,Šiauliai,2026-04-18,10:00,https://siauliuarena.lt/event/1-diena-tarptautines-sportiniu-sokiu-reitingo-varzybos-wdsf-ir-lssf-sun-city-cup-2026/
2 DIENA | Tarptautinės sportinių šokių reitingo varžybos (WDSF ir LSŠF) „Sun City Cup-2026“,Šiaulių Arena,Šiauliai,2026-04-19,10:00,https://siauliuarena.lt/event/2-diena-tarptautines-sportiniu-sokiu-reitingo-varzybos-wdsf-ir-lssf-sun-city-cup-2026/
LKL: „Šiauliai“ – „Žalgiris“,Šiaulių Arena,Šiauliai,2026-04-25,16:50,https://siauliuarena.lt/event/lkl-siauliai-zalgiris-4/
Sodinukų mugė „Aš sodinu“,Šiaulių Arena,Šiauliai,2026-04-26,10:00,https://siauliuarena.lt/event/sodinuku-muge-as-sodinu-8/
LKL: „Šiauliai“ – „Nevėžis“,Šiaulių Arena,Šiauliai,2026-05-03,19:10,https://siauliuarena.lt/event/lkl-siauliai-nevezis-4/
LKL: „Šiauliai“ – „Lietkabelis“,Šiaulių Arena,Šiauliai,2026-05-16,16:50,https://siauliuarena.lt/event/lkl-siauliai-lietkabelis-4/
Vasaros festivalis “Grand Live Show’26” / 1 diena,Šiaulių Arena,Šiauliai,2026-08-07,19:00,https://siauliuarena.lt/event/grand-live-show26/
Vasaros festivalis “Grand Live Show’26” / 2 diena,Šiaulių Arena,Šiauliai,2026-08-08,19:00,https://siauliuarena.lt/event/vasaros-festivalis-grand-live-show26-2-diena/
Privatus renginys Mažojoje salėje,Šiaulių Arena,Šiauliai,2026-09-09,19:00,https://siauliuarena.lt/event/privatus-renginys-mazojoje-saleje-9/
AGNĖS MICHALENKOVAITĖS Vinilinės plokštelės pristatymo koncertas „UŽAUGAU” | Mažoji salė,Šiaulių Arena,Šiauliai,2026-09-26,19:00,https://siauliuarena.lt/event/agnes-michalenkovaites-vinilines-ploksteles-pristatymo-koncertas-uzaugau/
Baletas ”Snieguolė ir Septyni Nykštukai”,Šiaulių Arena,Šiauliai,2026-10-16,18:00,https://siauliuarena.lt/event/baletas-snieguole-ir-septyni-nykstukai/
Miuziklas „MAŽASIS PRINCAS”,Šiaulių Arena,Šiauliai,2026-11-06,18:00,https://siauliuarena.lt/event/miuziklas-mazasis-princas/
CHRIS NORMAN & BAND koncertas,Šiaulių Arena,Šiauliai,2026-12-09,19:00,https://siauliuarena.lt/event/chris-norman-band-koncertas/
Privatus renginys Mažojoje salėje,Šiaulių Arena,Šiauliai,2026-12-12,18:00,https://siauliuarena.lt/event/privatus-renginys-mazojoje-saleje-10/
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Šiaulių Arena,Šiauliai,2026-12-27,19:00,https://siauliuarena.lt/event/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes/
