event_name,location,city,date,time,event_link
Baltijos Shotokan karatė čempionatas,Kalnapilio Arena,Panevėžys,2026-02-22,10:00,https://kalnapilisarena.lt/renginys/baltijos-shotokan-karate-cempionatas/
„Didžiosios išpirktuvės“ – nuolaidų kupina mugė!,Kalnapilio Arena,Panevėžys,2026-02-22,10:00,https://kalnapilisarena.lt/renginys/didziosios-ispirktuves-nuolaidu-kupina-muge/
ŽEMAITUKAI,Kalnapilio Arena,Panevėžys,2026-02-27,19:00,https://kalnapilisarena.lt/renginys/zemaitukai/
Voltas - Madaris treko taurė II etapas,Kalnapilio Arena,Panevėžys,2026-03-01,08:00,https://kalnapilisarena.lt/renginys/voltas-madaris-treko-taure-ii-etapas/
"Šlagerių vakars Panevėžy: Grupė Nerija, R. Cicinas, Radži, V. Šiškauskas, O. Vyšniauskas ir Grupė 2",Kalnapilio Arena,Panevėžys,2026-03-06,19:00,https://kalnapilisarena.lt/renginys/slageriu-vakaras-panevezyje-grupe-nerija-r-cicinas-radzi-v-siskauskas-o-vysniauskas-ir-grupe-2/
Viktorija ir Vitražas,Kalnapilio Arena,Panevėžys,2026-03-07,19:00,https://kalnapilisarena.lt/renginys/viktorija-ir-vitrazas/
STILIUS IR SKONIS mugė Kalnapilio arenoje,Kalnapilio Arena,Panevėžys,2026-03-14,10:00,https://kalnapilisarena.lt/renginys/stilius-ir-skonis-muge-kalnapilio-arenoje/
Voltas - Madaris treko taurė III etapas,Kalnapilio Arena,Panevėžys,2026-03-14,08:00,https://kalnapilisarena.lt/renginys/voltas-madaris-treko-taure-iii-etapas-0314/
LKL rungtynės: Panevėžio Lietkabelis – Jonavos Jonava,Kalnapilio Arena,Panevėžys,2026-03-15,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-jonavos-jonava/
Andrius Mamontovas: TIK HITAI | Panevėžys,Kalnapilio Arena,Panevėžys,2026-03-20,20:00,https://kalnapilisarena.lt/renginys/andrius-mamontovas-tik-hitai-panevezys/
DOMINO teatras | komedija VYRAI PAGAL SKELBIMĄ,Kalnapilio Arena,Panevėžys,2026-03-25,18:30,https://kalnapilisarena.lt/renginys/domino-teatras-komedija-vyrai-pagal-skelbima/
LKL rungtynės: Panevėžio Lietkabelis – Kauno Žalgiris,Kalnapilio Arena,Panevėžys,2026-04-04,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-kauno-zalgiris-2/
Voltas - Madaris treko taurė IV etapas,Kalnapilio Arena,Panevėžys,2026-04-11,08:00,https://kalnapilisarena.lt/renginys/voltas-madaris-treko-taure-iv-etapas-0411/
LKL rungtynės: Panevėžio Lietkabelis – Utenos Juventus,Kalnapilio Arena,Panevėžys,2026-04-21,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-utenos-juventus-2/
Nijolė Narmontaitė ir Arnas Švilpauskas „MADINGA PORA“,Kalnapilio Arena,Panevėžys,2026-04-24,19:00,https://kalnapilisarena.lt/renginys/nijole-narmontaite-ir-arnas-svilpauskas-madinga-pora/
LKL rungtynės: Panevėžio Lietkabelis – Klaipėdos Neptūnas,Kalnapilio Arena,Panevėžys,2026-04-26,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-klaipedos-neptunas/
LKL rungtynės: Panevėžio Lietkabelis – Vilniaus Rytas,Kalnapilio Arena,Panevėžys,2026-05-03,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-vilniaus-rytas-2/
LKL rungtynės: Panevėžio Lietkabelis – Kėdainių Nevėžis,Kalnapilio Arena,Panevėžys,2026-05-06,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-kedainiu-nevezis-2/
International Dance Competition Judesio Piramidė 2026,Kalnapilio Arena,Panevėžys,2026-05-09,08:00,https://kalnapilisarena.lt/renginys/international-dance-competition-judesio-piramide-2026/
LKL rungtynės: Panevėžio Lietkabelis – Gargždų Gargždai,Kalnapilio Arena,Panevėžys,2026-05-12,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-gargzdu-gargzdai-2/
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Kalnapilio Arena,Panevėžys,2026-12-26,19:00,https://kalnapilisarena.lt/renginys/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes/
