event_name,location,city,date,time,event_link
EuroCup rungtynės: Lietkabelis – Breso Burgo JL,Kalnapilio Arena,Panevėžys,2026-01-07,18:45,https://kalnapilisarena.lt/renginys/eurocup-rungtynes-lietkabelis-breso-burgo-jl/
TEATRO ŽVAIGŽDĖS,Kalnapilio Arena,Panevėžys,2026-01-11,19:00,https://kalnapilisarena.lt/renginys/teatro-zvaigzdes/
KMT Ketvirtfinalis: „Lietkabelis“ – Utenos „Juventus“,Kalnapilio Arena,Panevėžys,2026-01-18,15:45,https://kalnapilisarena.lt/renginys/lietkabelis-juventus/
EuroCup rungtynės: Lietkabelis – Trento Dolomiti Energia,Kalnapilio Arena,Panevėžys,2026-01-21,18:45,https://kalnapilisarena.lt/renginys/eurocup-rungtynes-lietkabelis-trento-dolomiti-energia/
2 METRAI: Deivis Norvilas ir Rafailas Karpis,Kalnapilio Arena,Panevėžys,2026-01-25,19:00,https://kalnapilisarena.lt/renginys/2-metrai-deivis-norvilas-ir-rafailas-karpis/
LKL rungtynės: Panevėžio Lietkabelis – Gargždų Gargždai,Kalnapilio Arena,Panevėžys,2026-02-01,19:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-gargzdu-gargzdai/
EuroCup rungtynės: Lietkabelis – Atėnų Panionios,Kalnapilio Arena,Panevėžys,2026-02-04,18:45,https://kalnapilisarena.lt/renginys/eurocup-rungtynes-lietkabelis-atenu-panionios/
Teatro komedija PORŲ TERAPIJA,Kalnapilio Arena,Panevėžys,2026-02-14,18:00,https://kalnapilisarena.lt/renginys/teatro-komedija-poru-terapija/
LKL rungtynės: Panevėžio Lietkabelis – Šiaulių Šiauliai,Kalnapilio Arena,Panevėžys,2026-02-18,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-siauliu-siauliai-2/
Inga Valinskienė VISADA JŪSŲ,Kalnapilio Arena,Panevėžys,2026-02-20,19:00,https://kalnapilisarena.lt/renginys/inga-valinskiene-visada-jusu-2/
ŽEMAITUKAI,Kalnapilio Arena,Panevėžys,2026-02-27,19:00,https://kalnapilisarena.lt/renginys/zemaitukai/
"Šlagerių vakaras Panevėžyje: Grupė Nerija, R. Cicinas, Radži, V. Šiškauskas, O. Vyšniauskas ir Grupė 2",Kalnapilio Arena,Panevėžys,2026-03-06,19:00,https://kalnapilisarena.lt/renginys/slageriu-vakaras-panevezyje-grupe-nerija-r-cicinas-radzi-v-siskauskas-o-vysniauskas-ir-grupe-2/
Viktorija ir Vitražas,Kalnapilio Arena,Panevėžys,2026-03-07,19:00,https://kalnapilisarena.lt/renginys/viktorija-ir-vitrazas/
STILIUS IR SKONIS mugė Kalnapilio arenoje,Kalnapilio Arena,Panevėžys,2026-03-14,10:00,https://kalnapilisarena.lt/renginys/stilius-ir-skonis-muge-kalnapilio-arenoje/
LKL rungtynės: Panevėžio Lietkabelis – Jonavos Jonava,Kalnapilio Arena,Panevėžys,2026-03-15,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-jonavos-jonava/
Andrius Mamontovas: TIK HITAI | Panevėžys,Kalnapilio Arena,Panevėžys,2026-03-20,20:00,https://kalnapilisarena.lt/renginys/andrius-mamontovas-tik-hitai-panevezys/
LKL rungtynės: Panevėžio Lietkabelis – Kauno Žalgiris,Kalnapilio Arena,Panevėžys,2026-04-04,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-kauno-zalgiris-2/
LKL rungtynės: Panevėžio Lietkabelis – Utenos Juventus,Kalnapilio Arena,Panevėžys,2026-04-21,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-utenos-juventus-2/
Nijolė Narmontaitė ir Arnas Švilpauskas „MADINGA PORA“,Kalnapilio Arena,Panevėžys,2026-04-24,19:00,https://kalnapilisarena.lt/renginys/nijole-narmontaite-ir-arnas-svilpauskas-madinga-pora/
LKL rungtynės: Panevėžio Lietkabelis – Klaipėdos Neptūnas,Kalnapilio Arena,Panevėžys,2026-04-26,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-klaipedos-neptunas/
LKL rungtynės: Panevėžio Lietkabelis – Vilniaus Rytas,Kalnapilio Arena,Panevėžys,2026-05-03,16:45,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-vilniaus-rytas-2/
LKL rungtynės: Panevėžio Lietkabelis – Kėdainių Nevėžis,Kalnapilio Arena,Panevėžys,2026-05-06,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-kedainiu-nevezis-2/
LKL rungtynės: Panevėžio Lietkabelis – Gargždų Gargždai,Kalnapilio Arena,Panevėžys,2026-05-12,18:00,https://kalnapilisarena.lt/renginys/lkl-rungtynes-panevezio-lietkabelis-gargzdu-gargzdai-2/
