event_name,location,city,date,time,event_link
World Hits Symphony | Universe Orchestra,Zalgirio Arena,Kaunas,2026-03-16,19:00,https://www.bilietai.lt/lit/renginiai/koncertai/kaunas-world-hits-symphony--universe-orchestra-489371/
ELECTRO SYMPHONY Vol.2,Zalgirio Arena,Kaunas,2026-03-18,19:00,https://www.bilietai.lt/lit/renginiai/koncertai/electro-symphony-vol2--kaunas-482092/
Maksimas Galkinas – jubiliejinis turas,Zalgirio Arena,Kaunas,2026-03-19,19:00,https://kakava.lt/renginys/maksimas-galkinas-jubiliejinis-koncertas/10524/20812
Konferencija „We are not ready for the joint replacement!”,SDG amphitheatre,Kaunas,2026-03-20,9:00,https://www.lthealth.lt/events/event_detail/conference-we-are-not-ready-for-joint-replacement-2026/
Zalgiris Kaunas - Real Madrid,Zalgirio Arena,Kaunas,2026-03-20,19:44,https://zalgiris.koobin.com/zalgiris-real-2026-03-20
KARALIŠKA ERDVĖ | Iš lėto leidžiasi saulė,Zalgirio Arena,Kaunas,2026-03-21,19:00,https://www.medusa.lt/lt/e/renginys/KaraliskaErdve_Zalgirio_arena_20260321
Zalgiris Kaunas - Siauliai,Zalgirio Arena,Kaunas,2026-03-22,18:50,https://zalgiris.koobin.com/zalgiris-siauliai-2026-03-22
Zalgiris Kaunas - Bayern Munich,Zalgirio Arena,Kaunas,2026-03-24,19:44,https://zalgiris.koobin.com/zalgiris-bayern-2026-03-24
Viktorija ir Vitražas,Zalgirio Arena,Kaunas,2026-03-26,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/viktorija-ir-vitrazas--kaunas-477025/
Dinamika,Zalgirio Arena,Kaunas,2026-03-27,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/dinamika--kaunas-477699/
Mados ir grožio mugė „DESIGN FOR LIFE“,Zalgirio Arena,Kaunas,2026-03-28,10:00,https://festivus.lt/renginiai/design-for-life/mados-ir-grozio-muge-design-for-life-kaune-2026
IEVA DŪDAITĖ „GRAND PIANO SHOW 2“ 360,Zalgirio Arena,Kaunas,2026-03-28,19:00,https://www.bilietai.lt/lit/renginiai/koncertai/ieva-dudaite-grand-piano-show-2-360-488168/
Auksiniai svogūnai 2026,Zalgirio Arena,Kaunas,2026-03-30,19:00,https://kakava.lt/renginys/auksiniai-svogunai-2026/10794/21417
Zalgiris Kaunas - FC Barcelona,Zalgirio Arena,Kaunas,2026-04-02,19:44,https://zalgiris.koobin.com/zalgiris-barcelona-2026-04-02
EVGENYA REDKO | 04 04,Zalgirio Arena,Kaunas,2026-04-04,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/evgenya-redko--04-04--zalgirio-arena-470485/
Eros Ramazzotti,Zalgirio Arena,Kaunas,2026-04-06,20:00,https://kakava.lt/renginys/eros-ramazzotti/10080/19731
Zalgiris Kaunas - Dubai Basketball,Zalgirio Arena,Kaunas,2026-04-07,19:44,https://zalgiris.koobin.com/zalgiris-dubai-2026-04-07
SVEIKATA IR GROŽIS 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-04-10,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
SVEIKATA IR GROŽIS 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-04-11,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
SVEIKATA IR GROŽIS 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-04-12,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
Paulina Paukštaitytė,Zalgirio Arena,Kaunas,2026-04-16,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/paulina-paukstaityte--zalgirio-arena-481662/
Zalgiris Kaunas - Paris Basketball,Zalgirio Arena,Kaunas,2026-04-17,19:44,https://zalgiris.koobin.com/zalgiris-paris-2026-04-17
UTMA 18,Zalgirio Arena,Kaunas,2026-04-18,19:00,https://kakava.lt/renginys/utma-18/11831/24353
Zalgiris Kaunas - Juventus Utena,Zalgirio Arena,Kaunas,2026-04-28,18:30,https://zalgiris.koobin.com/zalgiris-juventus-2026-04-28
