event_name,location,city,date,time,event_link
Auksiniai svogūnai 2026,Zalgirio Arena,Kaunas,2026-03-30,19:00,https://kakava.lt/renginys/auksiniai-svogunai-2026/10794/21417
Zalgiris Kaunas - FC Barcelona,Zalgirio Arena,Kaunas,2026-04-02,19:44,https://zalgiris.koobin.com/zalgiris-barcelona-2026-04-02
EVGENYA REDKO | 04 04,Zalgirio Arena,Kaunas,2026-04-04,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/evgenya-redko--04-04--zalgirio-arena-470485/
Eros Ramazzotti,Zalgirio Arena,Kaunas,2026-04-06,20:00,https://kakava.lt/renginys/eros-ramazzotti/10080/19731
Zalgiris Kaunas - Dubai Basketball,Zalgirio Arena,Kaunas,2026-04-07,19:44,https://zalgiris.koobin.com/zalgiris-dubai-2026-04-07
SVEIKATA IR GROŽIS 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-04-10,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
SVEIKATA IR GROŽIS 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-04-11,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
SVEIKATA IR GROŽIS 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-04-12,10:00,https://www.bilietai.lt/lit/renginiai/parodos/paroda-sveikata-ir-grozis-2026-492297/
Paulina Paukštaitytė,Zalgirio Arena,Kaunas,2026-04-16,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/paulina-paukstaityte--zalgirio-arena-481662/
Zalgiris Kaunas - Paris Basketball,Zalgirio Arena,Kaunas,2026-04-17,19:44,https://zalgiris.koobin.com/zalgiris-paris-2026-04-17
UTMA 18,Zalgirio Arena,Kaunas,2026-04-18,19:00,https://kakava.lt/renginys/utma-18/11831/24353
Zalgiris Kaunas - Juventus Utena,Zalgirio Arena,Kaunas,2026-04-28,18:30,https://zalgiris.koobin.com/zalgiris-juventus-2026-04-28
AI & CONTENT SUMMIT 2026,SDG amphitheatre,Kaunas,2026-04-30,10:00,https://aicontentsummit.lt/
Zalgiris Kaunas - Gargzdai,Zalgirio Arena,Kaunas,2026-05-05,18:30,https://zalgiris.koobin.com/zalgiris-gargzdai-2026-05-05
Zalgiris Kaunas - Lietkabelis Panevezys,Zalgirio Arena,Kaunas,2026-05-10,16:30,https://zalgiris.koobin.com/zalgiris-lietkabelis-2026-05-10
Zalgiris Kaunas - Nevezis Kedainiai,Zalgirio Arena,Kaunas,2026-05-17,16:30,https://zalgiris.koobin.com/zalgiris-nevezis-2026-05-17
André Rieu | Papildomas,Zalgirio Arena,Kaunas,2026-06-02,20:00,https://kakava.lt/renginys/andre-rieu/10833/21613
André Rieu,Zalgirio Arena,Kaunas,2026-06-03,20:00,https://kakava.lt/renginys/andre-rieu/10833/21613
Black Eyed Peas,Zalgirio Arena,Kaunas,2026-06-18,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/black-eyed-peas-492136/
Lenny Kravitz,Zalgirio Arena,Kaunas,2026-07-18,20:00,https://www.bilietai.lt/lit/renginiai/koncertai/lenny-kravitz-487403
Dr. Mikao Usui Reiki Konferencija,SDG amphitheatre,Kaunas,2026-08-15,10:00,https://www.bilietai.lt/lit/renginiai/kita/dr-mikao-usui-reiki-konferencija-492866/
Miuziklas „MAŽASIS PRINCAS“,Zalgirio Arena,Kaunas,2026-09-12,18:00,https://www.bilietai.lt/lit/renginiai/koncertai/kaunas-miuziklas-mazasis-princas-494978/
Paroda „Kauno knygų mugė 2026“ | 1 diena,Zalgirio Arena,Kaunas,2026-09-18,10:00,https://www.parodos.lt/parodos/kauno-knygu-muge-2026/
Paroda „Kauno knygų mugė 2026“ | 2 diena,Zalgirio Arena,Kaunas,2026-09-19,10:00,https://www.parodos.lt/parodos/kauno-knygu-muge-2026/
